date,season,event_name,solar_index,distance_to_center,phase,progress,declination_deg,fixed_season,fixed_index,fixed_distance,fixed_phase,fixed_progress,deviation,abs_deviation,drift_trend
2005-01-01 00:00:00+00:00,winter,december_solstice_prev,56,10,decline,0.6179775280898876,-22.97398450196135,winter,57.0,11.0,decline,0.6292134831460674,-1.0,1.0,-1.0
2005-01-02 00:00:00+00:00,winter,december_solstice_prev,57,11,decline,0.6292134831460674,-22.885380814122286,winter,58.0,12.0,decline,0.6404494382022472,-1.0,1.0,-1.0
2005-01-03 00:00:00+00:00,winter,december_solstice_prev,58,12,decline,0.6404494382022472,-22.78918490007505,winter,59.0,13.0,decline,0.651685393258427,-1.0,1.0,-1.0
2005-01-04 00:00:00+00:00,winter,december_solstice_prev,59,13,decline,0.651685393258427,-22.685440165025888,winter,60.0,14.0,decline,0.6629213483146067,-1.0,1.0,-1.0
2005-01-05 00:00:00+00:00,winter,december_solstice_prev,60,14,decline,0.6629213483146067,-22.574193657401455,winter,61.0,15.0,decline,0.6741573033707865,-1.0,1.0,-1.0
2005-01-06 00:00:00+00:00,winter,december_solstice_prev,61,15,decline,0.6741573033707865,-22.455496246699916,winter,62.0,16.0,decline,0.6853932584269663,-1.0,1.0,-1.0
2005-01-07 00:00:00+00:00,winter,december_solstice_prev,62,16,decline,0.6853932584269663,-22.329402880002743,winter,63.0,17.0,decline,0.6966292134831461,-1.0,1.0,-1.0
2005-01-08 00:00:00+00:00,winter,december_solstice_prev,63,17,decline,0.6966292134831461,-22.19597289803282,winter,64.0,18.0,decline,0.7078651685393258,-1.0,1.0,-1.0
2005-01-09 00:00:00+00:00,winter,december_solstice_prev,64,18,decline,0.7078651685393258,-22.05527034405417,winter,65.0,19.0,decline,0.7191011235955056,-1.0,1.0,-1.0
2005-01-10 00:00:00+00:00,winter,december_solstice_prev,65,19,decline,0.7191011235955056,-21.907364152379248,winter,66.0,20.0,decline,0.7303370786516854,-1.0,1.0,-1.0
2005-01-11 00:00:00+00:00,winter,december_solstice_prev,66,20,decline,0.7303370786516854,-21.752328096346886,winter,67.0,21.0,decline,0.7415730337078652,-1.0,1.0,-1.0
2005-01-12 00:00:00+00:00,winter,december_solstice_prev,67,21,decline,0.7415730337078652,-21.59024043822413,winter,68.0,22.0,decline,0.7528089887640449,-1.0,1.0,-1.0
2005-01-13 00:00:00+00:00,winter,december_solstice_prev,68,22,decline,0.7528089887640449,-21.42118333510869,winter,69.0,23.0,decline,0.7640449438202247,-1.0,1.0,-1.0
2005-01-14 00:00:00+00:00,winter,december_solstice_prev,69,23,decline,0.7640449438202247,-21.24524214496849,winter,70.0,24.0,decline,0.7752808988764045,-1.0,1.0,-1.0
2005-01-15 00:00:00+00:00,winter,december_solstice_prev,70,24,decline,0.7752808988764045,-21.062504787039785,winter,71.0,25.0,decline,0.7865168539325843,-1.0,1.0,-1.0
2005-01-16 00:00:00+00:00,winter,december_solstice_prev,71,25,decline,0.7865168539325843,-20.873061248935738,winter,72.0,26.0,decline,0.797752808988764,-1.0,1.0,-1.0
2005-01-17 00:00:00+00:00,winter,december_solstice_prev,72,26,decline,0.797752808988764,-20.677003254011844,winter,73.0,27.0,decline,0.8089887640449438,-1.0,1.0,-1.0
2005-01-18 00:00:00+00:00,winter,december_solstice_prev,73,27,decline,0.8089887640449438,-20.47442405175547,winter,74.0,28.0,decline,0.8202247191011236,-1.0,1.0,-1.0
2005-01-19 00:00:00+00:00,winter,december_solstice_prev,74,28,decline,0.8202247191011236,-20.2654182801717,winter,75.0,29.0,decline,0.8314606741573034,-1.0,1.0,-1.0
2005-01-20 00:00:00+00:00,winter,december_solstice_prev,75,29,decline,0.8314606741573034,-20.05008185863766,winter,76.0,30.0,decline,0.8426966292134831,-1.0,1.0,-1.0
2005-01-21 00:00:00+00:00,winter,december_solstice_prev,76,30,decline,0.8426966292134831,-19.82851188666833,winter,77.0,31.0,decline,0.8539325842696629,-1.0,1.0,-1.0
2005-01-22 00:00:00+00:00,winter,december_solstice_prev,77,31,decline,0.8539325842696629,-19.600806539389403,winter,78.0,32.0,decline,0.8651685393258427,-1.0,1.0,-1.0
2005-01-23 00:00:00+00:00,winter,december_solstice_prev,78,32,decline,0.8651685393258427,-19.36706496121868,winter,79.0,33.0,decline,0.8764044943820225,-1.0,1.0,-1.0
2005-01-24 00:00:00+00:00,winter,december_solstice_prev,79,33,decline,0.8764044943820225,-19.127387165222586,winter,80.0,34.0,decline,0.8876404494382022,-1.0,1.0,-1.0
2005-01-25 00:00:00+00:00,winter,december_solstice_prev,80,34,decline,0.8876404494382022,-18.88187394757938,winter,81.0,35.0,decline,0.898876404494382,-1.0,1.0,-1.0
2005-01-26 00:00:00+00:00,winter,december_solstice_prev,81,35,decline,0.898876404494382,-18.630626825436014,winter,82.0,36.0,decline,0.9101123595505618,-1.0,1.0,-1.0
2005-01-27 00:00:00+00:00,winter,december_solstice_prev,82,36,decline,0.9101123595505618,-18.373748003332143,winter,83.0,37.0,decline,0.9213483146067416,-1.0,1.0,-1.0
2005-01-28 00:00:00+00:00,winter,december_solstice_prev,83,37,decline,0.9213483146067416,-18.11134036980613,winter,84.0,38.0,decline,0.9325842696629213,-1.0,1.0,-1.0
2005-01-29 00:00:00+00:00,winter,december_solstice_prev,84,38,decline,0.9325842696629213,-17.843507523547487,winter,85.0,39.0,decline,0.9438202247191011,-1.0,1.0,-0.9333333333333333
2005-01-30 00:00:00+00:00,winter,december_solstice_prev,85,39,decline,0.9438202247191011,-17.57035382899431,winter,86.0,40.0,decline,0.9550561797752809,-1.0,1.0,-0.8666666666666667
2005-01-31 00:00:00+00:00,winter,december_solstice_prev,86,40,decline,0.9550561797752809,-17.29198450514316,winter,87.0,41.0,decline,0.9662921348314607,-1.0,1.0,-0.8
2005-02-01 00:00:00+00:00,winter,december_solstice_prev,87,41,decline,0.9662921348314607,-17.00850575763488,winter,88.0,42.0,decline,0.9775280898876404,-1.0,1.0,-0.7333333333333333
2005-02-02 00:00:00+00:00,winter,december_solstice_prev,88,42,decline,0.9775280898876404,-16.720024970122164,winter,89.0,43.0,decline,0.9887640449438202,-1.0,1.0,-0.6666666666666666
2005-02-03 00:00:00+00:00,winter,december_solstice_prev,89,43,decline,0.9887640449438202,-16.426650971497,winter,90.0,44.0,decline,1.0,-1.0,1.0,-0.6
2005-02-04 00:00:00+00:00,winter,december_solstice_prev,90,44,decline,1.0,-16.128494383562643,winter,91.0,45.0,decline,1.0112359550561798,-1.0,1.0,-0.5333333333333333
2005-02-05 00:00:00+00:00,spring,march_equinox,2,-44,approach,0.011235955056179775,-15.825668021916922,spring,2.0,-44.0,approach,0.011235955056179775,0.0,0.0,-0.4666666666666667
2005-02-06 00:00:00+00:00,spring,march_equinox,3,-43,approach,0.02247191011235955,-15.518287270593456,spring,3.0,-43.0,approach,0.02247191011235955,0.0,0.0,-0.4
2005-02-07 00:00:00+00:00,spring,march_equinox,4,-42,approach,0.033707865168539325,-15.206470295702621,spring,4.0,-42.0,approach,0.033707865168539325,0.0,0.0,-0.3333333333333333
2005-02-08 00:00:00+00:00,spring,march_equinox,5,-41,approach,0.0449438202247191,-14.890337945504047,spring,5.0,-41.0,approach,0.0449438202247191,0.0,0.0,-0.26666666666666666
2005-02-09 00:00:00+00:00,spring,march_equinox,6,-40,approach,0.056179775280898875,-14.570013247469234,spring,6.0,-40.0,approach,0.056179775280898875,0.0,0.0,-0.2
2005-02-10 00:00:00+00:00,spring,march_equinox,7,-39,approach,0.06741573033707865,-14.245620554881341,spring,7.0,-39.0,approach,0.06741573033707865,0.0,0.0,-0.13333333333333333
2005-02-11 00:00:00+00:00,spring,march_equinox,8,-38,approach,0.07865168539325842,-13.917284540883852,spring,8.0,-38.0,approach,0.07865168539325842,0.0,0.0,-0.06666666666666667
2005-02-12 00:00:00+00:00,spring,march_equinox,9,-37,approach,0.0898876404494382,-13.585129288159038,spring,9.0,-37.0,approach,0.0898876404494382,0.0,0.0,0.0
2005-02-13 00:00:00+00:00,spring,march_equinox,10,-36,approach,0.10112359550561797,-13.24927764873092,spring,10.0,-36.0,approach,0.10112359550561797,0.0,0.0,0.0
2005-02-14 00:00:00+00:00,spring,march_equinox,11,-35,approach,0.11235955056179775,-12.909850915062913,spring,11.0,-35.0,approach,0.11235955056179775,0.0,0.0,0.0
2005-02-15 00:00:00+00:00,spring,march_equinox,12,-34,approach,0.12359550561797752,-12.566968737581437,spring,12.0,-34.0,approach,0.12359550561797752,0.0,0.0,0.0
2005-02-16 00:00:00+00:00,spring,march_equinox,13,-33,approach,0.1348314606741573,-12.220749183727575,spring,13.0,-33.0,approach,0.1348314606741573,0.0,0.0,0.0
